,CIDR,BPE,CAR,CAR-T1,CAR-T2,CADR,COB,COD,COF,CRDR,IDR,PPE,BII-RATIO,BTA-RATIO,DTL-RATIO,IITA-RATIO,ICTA-RATIO,INASTI-RATIO,NIMTA-RATIO,NNNA-RATIO,NIITA-RATIO,OPTA-RATIO,PSATA-RATIO,SATA-RATIO,TDTD-RATIO,TLTA-RATIO,WBIC-RATIO,WBTE-RATIO,WBTI-RATIO,ROAD,ROAADJCOF,ROA,ROE,ROIADJCF,ROI,GNPASTA,NNPASTA
CIDR,1.0,0.8015756786541497,0.2571356592439354,-0.12179208454630365,0.3509884717000664,-0.5107442951205889,-0.2621136823616274,-0.928681417392678,-0.9235195246705606,0.774607728598189,-0.30876340466784297,0.7908769006635848,-0.4957492994729551,-0.7063986368225351,0.15435277336369668,-0.9636598401428517,-0.7312478825741933,-0.022470578424387974,-0.06662869932434426,-0.9841550705499614,0.022713840875907637,0.6793280772797464,0.504139636979763,-0.9416913237012245,-0.777672283297863,0.9532845577253051,-0.6688550263357559,0.01788899387923861,-0.37837541188055784,-0.7473794024778853,0.2915856827931531,0.8800615300747623,0.5471613763902692,-0.6889134207056133,-0.9618209439347235,-0.9801451711147685,-0.9897658595111524
BPE,0.8015756786541497,1.0,0.4972292065200815,0.23944634853524177,0.35297579805696316,-0.08275267275099343,0.14599787954792784,-0.6670493801294858,-0.6507006105129741,0.875279414897534,-0.6287048840954849,0.9860840464048234,-0.5167447142862651,-0.6500612952853402,-0.16438652547408855,-0.7638820801079355,-0.8002504576386348,0.31501268866035215,-0.453682467994574,-0.856724581105792,-0.20351784908641296,0.36370792898163296,0.30453877009233504,-0.7979742930897155,-0.6450916994969614,0.7806589050088154,-0.9298470756877241,-0.4146852435952853,-0.6603409797980572,-0.272873886852415,0.6403369808762092,0.7450911247241033,0.22669910568979576,-0.9272405473396876,-0.9009698132744007,-0.8714098022785075,-0.8184046210336687
CAR,0.2571356592439354,0.4972292065200815,1.0,0.3698092035007836,0.7750230703924799,-0.10550648458459964,-0.24293158144971705,-0.0018721250724923462,-0.006473194668496455,0.086476277982639,0.09188636511140796,0.5384289542471189,-0.7134626039359634,-0.6393456279369744,0.16813840086982593,-0.15978518607468192,-0.6151454432559297,-0.015306195690650927,-0.7264151455385446,-0.2474037374923223,0.10176666500708403,0.16668141165494546,-0.4623036550410199,-0.24021013647979947,0.19517541503596061,0.14251858336704284,-0.4458367689088274,-0.6965293710472767,-0.7405214732630699,-0.023343655267318405,-0.02678909114228713,0.35294225677662355,0.16373320869739516,-0.6700295274424903,-0.34266208607780396,-0.3661342553332037,-0.29291687176208986
CAR-T1,-0.12179208454630365,0.23944634853524177,0.3698092035007836,1.0,-0.3003960803324229,0.34727180658733137,0.3331710864189214,0.23709381130796575,0.24962557929107768,0.10893621090392076,-0.26443229177526983,0.23078513353051502,-0.15020676354702792,-0.05100873149547796,-0.33882815964310253,0.23556795838005537,-0.12840888136686027,0.2675112429202492,-0.20885152243435204,0.059112864614273224,-0.1282433699101278,-0.09070397479550214,-0.07499647088950602,0.05487809811717361,0.05777006074111027,-0.08028459543059631,-0.24406943762468614,-0.4491744536079233,-0.3746752226789568,0.3409634640468033,0.16075501993051888,-0.106877074540329,-0.3371282629755797,-0.2533902305224057,0.03798231928948576,0.009248805520057576,0.08826622918702219
CAR-T2,0.3509884717000664,0.35297579805696316,0.7750230703924799,-0.3003960803324229,1.0,-0.34369307703589497,-0.47415355367151957,-0.1682377439673143,-0.18138526350873155,0.022699778557038922,0.26565239549306446,0.39936117183139885,-0.6274623150230046,-0.6211668095125223,0.40036509356449695,-0.32958313116353727,-0.5474456055031279,-0.19300199158119757,-0.6062884667957671,-0.29941731868328914,0.18511405454801813,0.2305439451786423,-0.41703098732436683,-0.28879233395762927,0.1537014459187912,0.20555194857003517,-0.29588334908804165,-0.4095944049815686,-0.5057591688207838,-0.25665258938218033,-0.12973362144325343,0.43520355190256155,0.3932631266967715,-0.5209472029090638,-0.38365088882696935,-0.3873203701289609,-0.36555913652971633
CADR,-0.5107442951205889,-0.08275267275099343,-0.10550648458459964,0.34727180658733137,-0.34369307703589497,1.0,0.8430033116304465,0.5159110569372629,0.5453444365822667,0.04077485405724528,-0.49729339351116486,-0.10251433601743191,0.32282966538947216,0.4391674889203774,-0.8603267878076659,0.49860590137521454,0.26090484974748535,0.7874117446784943,-0.31438358910683173,0.4436792506707307,-0.3568031358927015,-0.6508491989062225,-0.08283388103939714,0.3975637728686482,0.07521134582735244,-0.4103876526743258,-0.17572182971205622,-0.39586158181205117,-0.08736665832362421,0.8133032971874191,0.4642551893725963,-0.45673844251997436,-0.593987573205984,0.06265830829373088,0.394218328034994,0.47735709136499765,0.5256986263960846
COB,-0.2621136823616274,0.14599787954792784,-0.24293158144971705,0.3331710864189214,-0.47415355367151957,0.8430033116304465,1.0,0.27158929506572244,0.31118472944431574,0.3279413601877992,-0.7160080181148144,0.10060239208041101,0.44915660919388506,0.4835573463090003,-0.8922858200811201,0.2790065655240672,0.1875824749747959,0.8671128927917824,-0.22191772848101135,0.18603995563931308,-0.5669843026078644,-0.6362356892815042,0.1229727662257833,0.13260403955526193,-0.16424032092271276,-0.17702565235041998,-0.3256163600000206,-0.29304806292375407,-0.037880152661106406,0.7379087459900348,0.7332685955473897,-0.31350647058898146,-0.5784161320507671,-0.13882095598996957,0.1368132951058999,0.23639240958477617,0.2925967803915534
COD,-0.928681417392678,-0.6670493801294858,-0.0018721250724923462,0.23709381130796575,-0.1682377439673143,0.5159110569372629,0.27158929506572244,1.0,0.9989596900024094,-0.758173686004936,0.34593576323644576,-0.6343399072380941,0.2669934332989597,0.5154827217100435,-0.2157434690543289,0.9784823261680179,0.5086387559863171,0.12266108632030762,-0.2285327207193864,0.9450056653041831,-0.0582088591449814,-0.6793588150214713,-0.7371692419099293,0.9249200314534239,0.8459051480884382,-0.9683387054405967,0.5543957854883849,-0.3189674100261189,0.09359547959742047,0.8086741531517898,-0.3149539958177308,-0.7408379470087963,-0.4001263677633823,0.4678155742459808,0.9006678178046434,0.9025779523837046,0.9397997332986552
COF,-0.9235195246705606,-0.6507006105129741,-0.006473194668496455,0.24962557929107768,-0.18138526350873155,0.5453444365822667,0.31118472944431574,0.9989596900024094,1.0,-0.7338212059507322,0.3138089524901092,-0.620014579470852,0.2782109632168485,0.5252911405355416,-0.2550406088130514,0.9774058427733698,0.5038001425646466,0.16449350307600508,-0.24090815122226786,0.9387902540852907,-0.08485180294939243,-0.6972789405818247,-0.7257523000288726,0.9144720279127124,0.826832077390501,-0.9615304288348953,0.5309135497382639,-0.33426064196281563,0.08388849172940975,0.8283498838272837,-0.28306217520165083,-0.7403162994777304,-0.4139734201769634,0.4510051975004523,0.8928815123002601,0.8979322431234089,0.9374074610256636
CRDR,0.774607728598189,0.875279414897534,0.086476277982639,0.10893621090392076,0.022699778557038922,0.04077485405724528,0.3279413601877992,-0.758173686004936,-0.7338212059507322,1.0,-0.8406985920835116,0.8124655412460267,-0.15907369531424034,-0.35970580659704915,-0.37163800139562003,-0.7853897514353488,-0.5583829279176311,0.48886132671272475,-0.17839648268170907,-0.8424096866220606,-0.3150541889400543,0.2529552490540541,0.6617047834158962,-0.8058436951962088,-0.90192512520323,0.8242068112279897,-0.8533850705238287,-0.11263266573346778,-0.34071066201694,-0.2644399830108116,0.795620470603559,0.5858091886108666,0.03738762311544097,-0.7374287291520146,-0.8603985711328997,-0.7999374336581445,-0.7733366149299945
IDR,-0.30876340466784297,-0.6287048840954849,0.09188636511140796,-0.26443229177526983,0.26565239549306446,-0.49729339351116486,-0.7160080181148144,0.34593576323644576,0.3138089524901092,-0.8406985920835116,1.0,-0.5427920935179028,-0.18759568001993443,-0.06540412048043516,0.6897746360594555,0.3568646917251976,0.21294601558732,-0.7538830725704022,0.21079919860437207,0.42426589934769604,0.49483923785982054,0.20252294577086677,-0.5647957546015312,0.4056056871281618,0.6913744705265855,-0.42319966599482456,0.7087986352906881,0.1825590934220553,0.18607119468466796,-0.24116409336641964,-0.9466646299631046,-0.12615763152524548,0.41281310106385244,0.5182741775444174,0.4706074945490885,0.36377099556641335,0.3157608099374341
PPE,0.7908769006635848,0.9860840464048234,0.5384289542471189,0.23078513353051502,0.39936117183139885,-0.10251433601743191,0.10060239208041101,-0.6343399072380941,-0.620014579470852,0.8124655412460267,-0.5427920935179028,1.0,-0.6250039161048954,-0.7318242944044138,-0.12147517948420389,-0.7405436981016359,-0.8290184299248605,0.25909113325665106,-0.4667138559511643,-0.8351990091656002,-0.10302777721757063,0.43956707820092633,0.21575527958115984,-0.7626192732688598,-0.5787592010026702,0.7621629723766331,-0.9331401613407073,-0.4612063185047248,-0.7244067578120369,-0.2876891306788493,0.5625708588147266,0.8072700393822876,0.32515587456771505,-0.9045646076325847,-0.8691682355462075,-0.851345119462607,-0.8007482202289852
BII-RATIO,-0.4957492994729551,-0.5167447142862651,-0.7134626039359634,-0.15020676354702792,-0.6274623150230046,0.32282966538947216,0.44915660919388506,0.2669934332989597,0.2782109632168485,-0.15907369531424034,-0.18759568001993443,-0.6250039161048954,1.0,0.9603652739672893,-0.2850729696003302,0.39500040338034154,0.7613747525857716,0.21898223725797009,0.4424000368837375,0.45255090455077357,-0.4423788436614954,-0.6906323069314098,0.30240511597307956,0.32575069081547386,0.045995338276284194,-0.39694464905698457,0.48920948642957707,0.5286974602296126,0.7982215903945624,0.4033165027246349,0.2170338366932322,-0.7767105045205729,-0.6949059955909761,0.5017758745652106,0.43842707162947475,0.5110038301851078,0.489043069654373
BTA-RATIO,-0.7063986368225351,-0.6500612952853402,-0.6393456279369744,-0.05100873149547796,-0.6211668095125223,0.4391674889203774,0.4835573463090003,0.5154827217100435,0.5252911405355416,-0.35970580659704915,-0.06540412048043516,-0.7318242944044138,0.9603652739672893,1.0,-0.31652961418530207,0.6285465495010858,0.8457075314282467,0.21768418590165034,0.36067038011731156,0.6704577447042913,-0.36763594348217304,-0.7850579342057378,0.07352066194735114,0.5490557518137817,0.28051330329891144,-0.6192180049125041,0.5830159332434289,0.4011854681047387,0.7510922970216641,0.5845174021226056,0.10696396292500038,-0.898411048159182,-0.7405614447193039,0.5931905521675349,0.6488635420129862,0.7148299695279734,0.7040855813604328
DTL-RATIO,0.15435277336369668,-0.16438652547408855,0.16813840086982593,-0.33882815964310253,0.40036509356449695,-0.8603267878076659,-0.8922858200811201,-0.2157434690543289,-0.2550406088130514,-0.37163800139562003,0.6897746360594555,-0.12147517948420389,-0.2850729696003302,-0.31652961418530207,1.0,-0.20435794269418675,-0.10479537599674049,-0.9346078661237592,0.3094153767609221,-0.116857352012159,0.40235242306831304,0.5189855075589997,-0.1478313110583797,-0.10746534414466558,0.29447623094975167,0.11189097273787707,0.35673931773511064,0.32623016699941976,0.11177673401612598,-0.6303808144711345,-0.6445013428498638,0.20747210872330127,0.44830162213749747,0.1820883754194576,-0.07805048966553506,-0.16448702475146118,-0.21206049472888736
IITA-RATIO,-0.9636598401428517,-0.7638820801079355,-0.15978518607468192,0.23556795838005537,-0.32958313116353727,0.49860590137521454,0.2790065655240672,0.9784823261680179,0.9774058427733698,-0.7853897514353488,0.3568646917251976,-0.7405436981016359,0.39500040338034154,0.6285465495010858,-0.20435794269418675,1.0,0.6325048168341142,0.08125103879678762,-0.035250716820553876,0.9767032086964894,-0.04992580231492497,-0.6668824850539185,-0.6144776688707415,0.9344129549903383,0.8088961366989446,-0.9670196300480102,0.6452071251632198,-0.15782056669259667,0.24517640090238596,0.7685863668108102,-0.3469647147327132,-0.813247223755641,-0.45268670390348276,0.6042977461307387,0.9551682702149693,0.951729369784173,0.9746530250434118
ICTA-RATIO,-0.7312478825741933,-0.8002504576386348,-0.6151454432559297,-0.12840888136686027,-0.5474456055031279,0.26090484974748535,0.1875824749747959,0.5086387559863171,0.5038001425646466,-0.5583829279176311,0.21294601558732,-0.8290184299248605,0.7613747525857716,0.8457075314282467,-0.10479537599674049,0.6325048168341142,1.0,-0.09806150186237313,0.5554654165136289,0.7204999120522604,0.18525699873219578,-0.4949746273171803,0.02134670259840806,0.6587706108339653,0.3826221960032627,-0.6331758944888202,0.7037532605009446,0.6001268904767351,0.869198256330891,0.41053729548120066,-0.15438736921289156,-0.8395414693971239,-0.6086981669881907,0.7871998793759494,0.732287399904294,0.7819101961386545,0.7405943350309964
INASTI-RATIO,-0.022470578424387974,0.31501268866035215,-0.015306195690650927,0.2675112429202492,-0.19300199158119757,0.7874117446784943,0.8671128927917824,0.12266108632030762,0.16449350307600508,0.48886132671272475,-0.7538830725704022,0.25909113325665106,0.21898223725797009,0.21768418590165034,-0.9346078661237592,0.08125103879678762,-0.09806150186237313,1.0,-0.4655662935876724,-0.014757264778706156,-0.57287265235481,-0.5233321090919827,0.13864010754036074,-0.05744065364422492,-0.3433920151111653,0.006135579013448622,-0.4976616966692096,-0.46603852650444316,-0.27146533901709846,0.5821180757885062,0.7163520639820742,-0.10239729186178179,-0.41318071846878346,-0.3743879148371019,-0.07939710949527179,0.01123216527289327,0.07278226939230774
NIMTA-RATIO,-0.06662869932434426,-0.453682467994574,-0.7264151455385446,-0.20885152243435204,-0.6062884667957671,-0.31438358910683173,-0.22191772848101135,-0.2285327207193864,-0.24090815122226786,-0.17839648268170907,0.21079919860437207,-0.4667138559511643,0.4424000368837375,0.36067038011731156,0.3094153767609221,-0.035250716820553876,0.5554654165136289,-0.4655662935876724,1.0,0.06013647311457556,0.30590863545435204,0.29434309683319393,0.5614472249555635,0.004666567268472345,-0.1565079990234388,0.09732349380755886,0.4516024774109713,0.8878949204349242,0.7453942617515381,-0.4010228026647845,-0.27721291626597466,-0.18595460768491306,-0.05067226439056474,0.6847486233552577,0.18500090052741344,0.1517188291006652,0.06103910804173606
NNNA-RATIO,-0.9841550705499614,-0.856724581105792,-0.2474037374923223,0.059112864614273224,-0.29941731868328914,0.4436792506707307,0.18603995563931308,0.9450056653041831,0.9387902540852907,-0.8424096866220606,0.42426589934769604,-0.8351990091656002,0.45255090455077357,0.6704577447042913,-0.116857352012159,0.9767032086964894,0.7204999120522604,-0.014757264778706156,0.06013647311457556,1.0,0.025540161944937585,-0.6460241867854707,-0.5701493521252295,0.9563337313927063,0.8140523837689188,-0.9740699513794279,0.7328181219365149,-0.014012941448324531,0.3765448796662008,0.6979026977186583,-0.4024411914446147,-0.8479289408091405,-0.4421883743886595,0.7140739637063775,0.9848560590100246,0.9883530260988669,0.9912988620765646
NIITA-RATIO,0.022713840875907637,-0.20351784908641296,0.10176666500708403,-0.1282433699101278,0.18511405454801813,-0.3568031358927015,-0.5669843026078644,-0.0582088591449814,-0.08485180294939243,-0.3150541889400543,0.49483923785982054,-0.10302777721757063,-0.4423788436614954,-0.36763594348217304,0.40235242306831304,-0.04992580231492497,0.18525699873219578,-0.57287265235481,0.30590863545435204,0.025540161944937585,1.0,0.5844488337655718,-0.10044035823074798,0.14311396373749669,0.1524535853272694,0.032787486378187965,0.15875170628547344,0.30561443027232577,0.13046433648077535,-0.36079302225605747,-0.4734272422221125,0.18955976189983653,0.3052887089916035,0.2848711312833966,0.08698205375782668,0.050711322041639875,-0.001532433526675454
OPTA-RATIO,0.6793280772797464,0.36370792898163296,0.16668141165494546,-0.09070397479550214,0.2305439451786423,-0.6508491989062225,-0.6362356892815042,-0.6793588150214713,-0.6972789405818247,0.2529552490540541,0.20252294577086677,0.43956707820092633,-0.6906323069314098,-0.7850579342057378,0.5189855075589997,-0.6668824850539185,-0.4949746273171803,-0.5233321090919827,0.29434309683319393,-0.6460241867854707,0.5844488337655718,1.0,0.29983382635733685,-0.5569852580733629,-0.39670119799288717,0.6993155940951226,-0.3007543724010045,0.17857871868139497,-0.27422689910789444,-0.8621530512115506,-0.29005720575202276,0.7988673283454313,0.7266084141046865,-0.15080188696451,-0.5402199343980845,-0.628993383832439,-0.6786923401008857
PSATA-RATIO,0.504139636979763,0.30453877009233504,-0.4623036550410199,-0.07499647088950602,-0.41703098732436683,-0.08283388103939714,0.1229727662257833,-0.7371692419099293,-0.7257523000288726,0.6617047834158962,-0.5647957546015312,0.21575527958115984,0.30240511597307956,0.07352066194735114,-0.1478313110583797,-0.6144776688707415,0.02134670259840806,0.13864010754036074,0.5614472249555635,-0.5701493521252295,-0.10044035823074798,0.29983382635733685,1.0,-0.6142881210175358,-0.8573911774033364,0.6844623645562626,-0.31482855269522264,0.5769923467809397,0.3356584553980174,-0.4572995037909845,0.4517455530185534,0.19944073265088552,-0.15065765355543195,-0.050789101761123875,-0.5086699764828926,-0.47181989092017523,-0.5180890850054066
SATA-RATIO,-0.9416913237012245,-0.7979742930897155,-0.24021013647979947,0.05487809811717361,-0.28879233395762927,0.3975637728686482,0.13260403955526193,0.9249200314534239,0.9144720279127124,-0.8058436951962088,0.4056056871281618,-0.7626192732688598,0.32575069081547386,0.5490557518137817,-0.10746534414466558,0.9344129549903383,0.6587706108339653,-0.05744065364422492,0.004666567268472345,0.9563337313927063,0.14311396373749669,-0.5569852580733629,-0.6142881210175358,1.0,0.7857356815221259,-0.9585576677364377,0.7003689399650351,-0.048412143956419754,0.3114299125066522,0.6765538103468673,-0.3980944034233475,-0.7500536109420737,-0.33897413551038363,0.6710742465279841,0.9470831264199061,0.9509597548488247,0.9552353467203754
TDTD-RATIO,-0.777672283297863,-0.6450916994969614,0.19517541503596061,0.05777006074111027,0.1537014459187912,0.07521134582735244,-0.16424032092271276,0.8459051480884382,0.826832077390501,-0.90192512520323,0.6913744705265855,-0.5787592010026702,0.045995338276284194,0.28051330329891144,0.29447623094975167,0.8088961366989446,0.3826221960032627,-0.3433920151111653,-0.1565079990234388,0.8140523837689188,0.1524535853272694,-0.39670119799288717,-0.8573911774033364,0.7857356815221259,1.0,-0.8551913114929494,0.6333680508590105,-0.21626534798335093,0.07468904580366231,0.4799254114445028,-0.5844275722073909,-0.5516461948424171,-0.13006103981274586,0.44577563962771294,0.7748819885751772,0.7392530522606466,0.7585161789143106
TLTA-RATIO,0.9532845577253051,0.7806589050088154,0.14251858336704284,-0.08028459543059631,0.20555194857003517,-0.4103876526743258,-0.17702565235041998,-0.9683387054405967,-0.9615304288348953,0.8242068112279897,-0.42319966599482456,0.7621629723766331,-0.39694464905698457,-0.6192180049125041,0.11189097273787707,-0.9670196300480102,-0.6331758944888202,0.006135579013448622,0.09732349380755886,-0.9740699513794279,0.032787486378187965,0.6993155940951226,0.6844623645562626,-0.9585576677364377,-0.8551913114929494,1.0,-0.7124273021221863,0.11918331537563169,-0.29350821758976725,-0.7375564510265312,0.3732290174467163,0.8156524085744503,0.40335628377945104,-0.5860482978113316,-0.9355924273367102,-0.9414192389247632,-0.9592463027830457
WBIC-RATIO,-0.6688550263357559,-0.9298470756877241,-0.4458367689088274,-0.24406943762468614,-0.29588334908804165,-0.17572182971205622,-0.3256163600000206,0.5543957854883849,0.5309135497382639,-0.8533850705238287,0.7087986352906881,-0.9331401613407073,0.48920948642957707,0.5830159332434289,0.35673931773511064,0.6452071251632198,0.7037532605009446,-0.4976616966692096,0.4516024774109713,0.7328181219365149,0.15875170628547344,-0.3007543724010045,-0.31482855269522264,0.7003689399650351,0.6333680508590105,-0.7124273021221863,1.0,0.4781217425338415,0.6794057792241626,0.1173403421439873,-0.7026348536755456,-0.6712731897913404,-0.11560037191299413,0.8269597671084737,0.7710143304762135,0.7219781355576598,0.6702916338843526
WBTE-RATIO,0.01788899387923861,-0.4146852435952853,-0.6965293710472767,-0.4491744536079233,-0.4095944049815686,-0.39586158181205117,-0.29304806292375407,-0.3189674100261189,-0.33426064196281563,-0.11263266573346778,0.1825590934220553,-0.4612063185047248,0.5286974602296126,0.4011854681047387,0.32623016699941976,-0.15782056669259667,0.6001268904767351,-0.46603852650444316,0.8878949204349242,-0.014012941448324531,0.30561443027232577,0.17857871868139497,0.5769923467809397,-0.048412143956419754,-0.21626534798335093,0.11918331537563169,0.4781217425338415,1.0,0.8863724412742838,-0.4318468967709456,-0.17110662215948153,-0.22006908328151756,-0.0988773308544878,0.5695931542207785,0.06513638738832823,0.07299305432319235,-0.022423378944179423
WBTI-RATIO,-0.37837541188055784,-0.6603409797980572,-0.7405214732630699,-0.3746752226789568,-0.5057591688207838,-0.08736665832362421,-0.037880152661106406,0.09359547959742047,0.08388849172940975,-0.34071066201694,0.18607119468466796,-0.7244067578120369,0.7982215903945624,0.7510922970216641,0.11177673401612598,0.24517640090238596,0.869198256330891,-0.27146533901709846,0.7453942617515381,0.3765448796662008,0.13046433648077535,-0.27422689910789444,0.3356584553980174,0.3114299125066522,0.07468904580366231,-0.29350821758976725,0.6794057792241626,0.8863724412742838,1.0,0.004716490588414783,-0.13494051094368278,-0.622856724981422,-0.41830953766067486,0.7030264556057847,0.41073334885581353,0.4501226022625933,0.3780744121131601
ROAD,-0.7473794024778853,-0.272873886852415,-0.023343655267318405,0.3409634640468033,-0.25665258938218033,0.8133032971874191,0.7379087459900348,0.8086741531517898,0.8283498838272837,-0.2644399830108116,-0.24116409336641964,-0.2876891306788493,0.4033165027246349,0.5845174021226056,-0.6303808144711345,0.7685863668108102,0.41053729548120066,0.5821180757885062,-0.4010228026647845,0.6979026977186583,-0.36079302225605747,-0.8621530512115506,-0.4572995037909845,0.6765538103468673,0.4799254114445028,-0.7375564510265312,0.1173403421439873,-0.4318468967709456,0.004716490588414783,1.0,0.30282094285516176,-0.6776034699064651,-0.6683241039856276,0.11254951025735477,0.6077087627725474,0.688374774226289,0.7580904624140707
ROAADJCOF,0.2915856827931531,0.6403369808762092,-0.02678909114228713,0.16075501993051888,-0.12973362144325343,0.4642551893725963,0.7332685955473897,-0.3149539958177308,-0.28306217520165083,0.795620470603559,-0.9466646299631046,0.5625708588147266,0.2170338366932322,0.10696396292500038,-0.6445013428498638,-0.3469647147327132,-0.15438736921289156,0.7163520639820742,-0.27721291626597466,-0.4024411914446147,-0.4734272422221125,-0.29005720575202276,0.4517455530185534,-0.3980944034233475,-0.5844275722073909,0.3732290174467163,-0.7026348536755456,-0.17110662215948153,-0.13494051094368278,0.30282094285516176,1.0,0.09862422787840223,-0.441553132628679,-0.575541194856447,-0.4790656364984219,-0.34955432944487297,-0.2971787519364868
ROA,0.8800615300747623,0.7450911247241033,0.35294225677662355,-0.106877074540329,0.43520355190256155,-0.45673844251997436,-0.31350647058898146,-0.7408379470087963,-0.7403162994777304,0.5858091886108666,-0.12615763152524548,0.8072700393822876,-0.7767105045205729,-0.898411048159182,0.20747210872330127,-0.813247223755641,-0.8395414693971239,-0.10239729186178179,-0.18595460768491306,-0.8479289408091405,0.18955976189983653,0.7988673283454313,0.19944073265088552,-0.7500536109420737,-0.5516461948424171,0.8156524085744503,-0.6712731897913404,-0.22006908328151756,-0.622856724981422,-0.6776034699064651,0.09862422787840223,1.0,0.7874266532716967,-0.6116366530709741,-0.8010942045497264,-0.8504771689823211,-0.8572636310800821
ROE,0.5471613763902692,0.22669910568979576,0.16373320869739516,-0.3371282629755797,0.3932631266967715,-0.593987573205984,-0.5784161320507671,-0.4001263677633823,-0.4139734201769634,0.03738762311544097,0.41281310106385244,0.32515587456771505,-0.6949059955909761,-0.7405614447193039,0.44830162213749747,-0.45268670390348276,-0.6086981669881907,-0.41318071846878346,-0.05067226439056474,-0.4421883743886595,0.3052887089916035,0.7266084141046865,-0.15065765355543195,-0.33897413551038363,-0.13006103981274586,0.40335628377945104,-0.11560037191299413,-0.0988773308544878,-0.41830953766067486,-0.6683241039856276,-0.441553132628679,0.7874266532716967,1.0,-0.1628443409405668,-0.3570037404030087,-0.4630734829976907,-0.5034379207268432
ROIADJCF,-0.6889134207056133,-0.9272405473396876,-0.6700295274424903,-0.2533902305224057,-0.5209472029090638,0.06265830829373088,-0.13882095598996957,0.4678155742459808,0.4510051975004523,-0.7374287291520146,0.5182741775444174,-0.9045646076325847,0.5017758745652106,0.5931905521675349,0.1820883754194576,0.6042977461307387,0.7871998793759494,-0.3743879148371019,0.6847486233552577,0.7140739637063775,0.2848711312833966,-0.15080188696451,-0.050789101761123875,0.6710742465279841,0.44577563962771294,-0.5860482978113316,0.8269597671084737,0.5695931542207785,0.7030264556057847,0.11254951025735477,-0.575541194856447,-0.6116366530709741,-0.1628443409405668,1.0,0.804585979306901,0.7709753111662077,0.696301197785122
ROI,-0.9618209439347235,-0.9009698132744007,-0.34266208607780396,0.03798231928948576,-0.38365088882696935,0.394218328034994,0.1368132951058999,0.9006678178046434,0.8928815123002601,-0.8603985711328997,0.4706074945490885,-0.8691682355462075,0.43842707162947475,0.6488635420129862,-0.07805048966553506,0.9551682702149693,0.732287399904294,-0.07939710949527179,0.18500090052741344,0.9848560590100246,0.08698205375782668,-0.5402199343980845,-0.5086699764828926,0.9470831264199061,0.7748819885751772,-0.9355924273367102,0.7710143304762135,0.06513638738832823,0.41073334885581353,0.6077087627725474,-0.4790656364984219,-0.8010942045497264,-0.3570037404030087,0.804585979306901,1.0,0.9863315515276926,0.9748879819802768
GNPASTA,-0.9801451711147685,-0.8714098022785075,-0.3661342553332037,0.009248805520057576,-0.3873203701289609,0.47735709136499765,0.23639240958477617,0.9025779523837046,0.8979322431234089,-0.7999374336581445,0.36377099556641335,-0.851345119462607,0.5110038301851078,0.7148299695279734,-0.16448702475146118,0.951729369784173,0.7819101961386545,0.01123216527289327,0.1517188291006652,0.9883530260988669,0.050711322041639875,-0.628993383832439,-0.47181989092017523,0.9509597548488247,0.7392530522606466,-0.9414192389247632,0.7219781355576598,0.07299305432319235,0.4501226022625933,0.688374774226289,-0.34955432944487297,-0.8504771689823211,-0.4630734829976907,0.7709753111662077,0.9863315515276926,1.0,0.9930394266313628
NNPASTA,-0.9897658595111524,-0.8184046210336687,-0.29291687176208986,0.08826622918702219,-0.36555913652971633,0.5256986263960846,0.2925967803915534,0.9397997332986552,0.9374074610256636,-0.7733366149299945,0.3157608099374341,-0.8007482202289852,0.489043069654373,0.7040855813604328,-0.21206049472888736,0.9746530250434118,0.7405943350309964,0.07278226939230774,0.06103910804173606,0.9912988620765646,-0.001532433526675454,-0.6786923401008857,-0.5180890850054066,0.9552353467203754,0.7585161789143106,-0.9592463027830457,0.6702916338843526,-0.022423378944179423,0.3780744121131601,0.7580904624140707,-0.2971787519364868,-0.8572636310800821,-0.5034379207268432,0.696301197785122,0.9748879819802768,0.9930394266313628,1.0
